iter	RMSE
0	12405.09271
1	12017.02617
2	11663.0065
3	11322.30492
4	11010.10845
5	10715.44371
6	10443.76712
7	10171.70664
8	9913.081631
9	9672.704721
10	9445.262637
11	9242.262404
12	9042.261881
13	8858.402018
14	8673.439653
15	8506.172706
16	8338.901552
17	8175.962184
18	8023.320047
19	7883.867597
20	7755.409634
21	7642.132029
22	7523.640103
23	7408.893915
24	7293.955497
25	7180.425721
26	7075.153845
27	6972.819036
28	6876.039392
29	6784.510479
30	6710.538893
31	6635.50314
32	6561.56612
33	6489.61506
34	6416.37092
35	6343.885742
36	6289.189754
37	6230.440001
38	6161.993196
39	6113.368132
40	6064.796443
41	6018.5953
42	5976.564949
43	5930.105471
44	5895.649559
45	5857.794907
46	5811.152181
47	5764.836806
48	5727.004155
49	5690.814603
50	5653.110452
51	5616.091029
52	5593.408265
53	5539.002125
54	5517.912272
55	5488.618527
56	5452.58616
57	5428.020522
58	5397.415466
59	5364.256331
60	5327.709204
61	5294.168366
62	5270.805841
63	5239.979166
64	5213.083966
65	5191.412968
66	5166.883416
67	5160.220383
68	5137.183653
69	5106.501143
70	5092.989203
71	5068.84833
72	5054.692078
73	5039.634377
74	5024.795001
75	4999.060436
76	4987.898919
77	4969.784323
78	4963.168717
79	4957.149447
80	4938.407345
81	4926.256234
82	4911.402973
83	4899.668347
84	4890.743471
85	4873.503507
86	4856.928706
87	4839.735786
88	4829.366074
89	4814.621535
90	4801.302032
91	4792.225906
92	4766.35328
93	4761.834095
94	4748.839026
95	4740.054583
96	4735.006119
97	4731.118804
98	4723.599448
99	4709.378498
100	4705.567601
101	4701.976021
102	4698.704652
103	4695.615622
104	4688.961296
105	4685.953008
106	4670.428202
107	4667.691241
108	4656.959411
109	4645.765408
110	4638.114919
111	4632.165393
112	4620.902877
113	4618.49185
114	4611.650375
115	4609.404619
116	4607.283206
117	4597.930261
118	4592.086158
119	4577.955664
120	4574.062591
121	4572.057845
122	4570.234725
123	4566.972446
124	4565.253531
125	4559.852951
126	4558.319645
127	4556.872544
128	4551.833834
129	4550.547541
130	4545.609717
131	4538.229561
132	4535.861538
133	4527.509113
134	4526.324437
135	4525.216941
136	4513.435128
137	4512.33866
138	4508.022018
139	4496.31986
140	4492.271204
141	4479.865681
142	4478.958032
143	4478.10182
144	4477.292715
145	4476.485906
146	4475.727984
147	4469.067093
148	4461.896747
149	4461.192015
150	4460.527617
151	4449.430583
152	4443.435639
153	4442.852083
154	4442.301325
155	4435.840425
