iter	Passed	Remaining
0	60	5945
1	63	3111
2	67	2174
3	70	1697
4	74	1414
5	78	1226
6	82	1090
7	85	988
8	89	909
9	94	846
10	97	790
11	101	742
12	105	704
13	108	668
14	112	637
15	116	610
16	120	586
17	123	563
18	127	542
19	130	522
20	134	505
21	138	489
22	141	473
23	145	460
24	148	446
25	152	434
26	156	422
27	160	412
28	164	402
29	168	392
30	172	383
31	175	373
32	179	364
33	182	354
34	186	346
35	190	338
36	193	330
37	197	322
38	201	314
39	204	307
40	208	299
41	211	292
42	215	285
43	218	278
44	222	271
45	226	265
46	229	259
47	233	252
48	236	246
49	240	240
50	244	234
51	248	229
52	251	223
53	255	217
54	259	212
55	263	207
56	266	201
57	270	195
58	274	190
59	278	185
60	281	180
61	285	175
62	289	169
63	293	164
64	296	159
65	300	154
66	304	149
67	307	144
68	311	139
69	314	134
70	318	130
71	322	125
72	325	120
73	329	115
74	332	110
75	336	106
76	340	101
77	343	96
78	347	92
79	349	87
80	354	83
81	357	78
82	361	74
83	365	69
84	368	65
85	372	60
86	376	56
87	379	51
88	383	47
89	387	43
90	391	38
91	394	34
92	398	30
93	402	25
94	407	21
95	412	17
96	416	12
97	419	8
98	423	4
99	427	0
